epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,733.009,0.92907,0.63821,1.10041,0.6618,0.65399,0.64685,0.39558,1.27953,0.91333,1.42464,0.000724518,0.000724518,0.000724518
43,778.642,0.95019,0.64127,1.12667,0.62894,0.68263,0.66799,0.40547,1.28624,0.92912,1.43001,0.000720019,0.000720019,0.000720019
44,825.159,0.92958,0.64803,1.10605,0.63949,0.66881,0.65425,0.40388,1.2947,0.90486,1.44553,0.000715519,0.000715519,0.000715519
45,865.862,0.93163,0.6153,1.08717,0.64704,0.67353,0.66873,0.40555,1.32763,0.96909,1.47751,0.00071102,0.00071102,0.00071102
46,894.143,0.96221,0.65637,1.12047,0.62093,0.65351,0.63794,0.3889,1.28826,0.95162,1.42714,0.00070652,0.00070652,0.00070652
47,917.64,0.92478,0.62428,1.09828,0.63912,0.69584,0.6638,0.39914,1.29312,0.93151,1.41944,0.000702021,0.000702021,0.000702021
48,941.323,0.92106,0.61817,1.09821,0.61481,0.69912,0.65878,0.40398,1.30352,0.92999,1.43521,0.000697521,0.000697521,0.000697521
49,959.992,0.91155,0.60629,1.09701,0.64144,0.64548,0.65074,0.39752,1.30997,1.00726,1.43009,0.000693022,0.000693022,0.000693022
50,984.488,0.92034,0.60768,1.08345,0.6931,0.66259,0.66719,0.40072,1.33147,0.94756,1.43754,0.000688522,0.000688522,0.000688522
51,1000.53,0.8875,0.57823,1.08663,0.64801,0.67789,0.65214,0.4002,1.29262,0.90579,1.40931,0.000684022,0.000684022,0.000684022
52,1015.53,0.93641,0.60937,1.11527,0.66933,0.60746,0.6127,0.36382,1.33105,1.12178,1.43299,0.000679523,0.000679523,0.000679523
53,1030.53,0.89799,0.57674,1.08577,0.69731,0.63977,0.66711,0.40872,1.30148,1.03022,1.38984,0.000675023,0.000675023,0.000675023
54,1045.86,0.93145,0.60428,1.10188,0.64889,0.6583,0.65673,0.39174,1.30613,1.03381,1.41044,0.000670524,0.000670524,0.000670524
55,1061.35,0.86735,0.57684,1.07022,0.62184,0.66875,0.65435,0.38577,1.35399,1.04815,1.48359,0.000666024,0.000666024,0.000666024
56,1076.69,0.89085,0.57589,1.088,0.65085,0.68055,0.64698,0.40766,1.30811,0.94578,1.43231,0.000661525,0.000661525,0.000661525
57,1092.06,0.88608,0.57112,1.07617,0.6937,0.67096,0.66888,0.42303,1.26942,0.88821,1.42911,0.000657025,0.000657025,0.000657025
58,1107.48,0.88067,0.57184,1.06771,0.69045,0.65971,0.67174,0.40934,1.31203,0.97454,1.465,0.000652526,0.000652526,0.000652526
59,1122.71,0.86636,0.55063,1.06001,0.76795,0.64485,0.6851,0.41245,1.29268,0.91334,1.47465,0.000648026,0.000648026,0.000648026
60,1137.79,0.87736,0.55666,1.06973,0.73702,0.67451,0.68741,0.41581,1.33696,0.88472,1.49857,0.000643527,0.000643527,0.000643527
61,1153.03,0.88262,0.55582,1.06197,0.65995,0.72896,0.68725,0.41318,1.33583,0.88853,1.49988,0.000639027,0.000639027,0.000639027
62,1168.37,0.89743,0.57469,1.09477,0.65122,0.68569,0.63866,0.40494,1.30012,0.94423,1.44635,0.000634527,0.000634527,0.000634527
63,1178.82,0.85769,0.55064,1.05885,0.66756,0.62136,0.61922,0.38185,1.31346,0.96217,1.44256,0.000630028,0.000630028,0.000630028
64,1189.46,0.85142,0.53238,1.03735,0.67233,0.66662,0.6553,0.39521,1.30644,0.88105,1.4385,0.000625528,0.000625528,0.000625528
65,1199.8,0.87207,0.55215,1.07234,0.67335,0.66038,0.64293,0.39509,1.34687,0.88771,1.46448,0.000621029,0.000621029,0.000621029
66,1209.93,0.85946,0.54281,1.06925,0.62967,0.69369,0.65675,0.40314,1.30312,0.81714,1.43579,0.000616529,0.000616529,0.000616529
