epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
179,2363.2,0.57953,0.32892,0.93075,0.68583,0.6407,0.64767,0.4042,1.30191,0.97476,1.53158,0.00010808,0.00010808,0.00010808
180,2373.3,0.55529,0.32553,0.91722,0.69903,0.64593,0.64847,0.40035,1.3069,0.96517,1.53673,0.000103581,0.000103581,0.000103581
181,2383.35,0.55339,0.3228,0.91537,0.69583,0.63813,0.65406,0.40041,1.31504,0.96097,1.54783,9.9081e-05,9.9081e-05,9.9081e-05
182,2393.57,0.56165,0.32445,0.93327,0.72829,0.6414,0.6656,0.40408,1.30823,0.95689,1.54782,9.45814e-05,9.45814e-05,9.45814e-05
183,2403.79,0.55464,0.31711,0.92983,0.70867,0.63744,0.65579,0.40011,1.30395,0.95884,1.54187,9.00819e-05,9.00819e-05,9.00819e-05
184,2414.03,0.5488,0.31478,0.92749,0.70216,0.63831,0.65434,0.40049,1.29923,0.96401,1.54031,8.55823e-05,8.55823e-05,8.55823e-05
185,2424.26,0.56098,0.32253,0.93168,0.71345,0.65328,0.66959,0.40373,1.3007,0.96865,1.53931,8.10828e-05,8.10828e-05,8.10828e-05
186,2434.46,0.54027,0.31491,0.9319,0.72242,0.64799,0.6687,0.40648,1.30193,0.97904,1.53902,7.65832e-05,7.65832e-05,7.65832e-05
187,2444.64,0.56075,0.32266,0.92786,0.7207,0.63778,0.65718,0.40143,1.30802,0.96793,1.54538,7.20837e-05,7.20837e-05,7.20837e-05
188,2454.86,0.54426,0.31217,0.92182,0.71086,0.63933,0.65349,0.39964,1.32686,0.95562,1.56169,6.75841e-05,6.75841e-05,6.75841e-05
189,2465.21,0.53704,0.31329,0.92128,0.71122,0.64061,0.65676,0.40127,1.32768,0.93942,1.56753,6.30846e-05,6.30846e-05,6.30846e-05
190,2475.53,0.53824,0.31527,0.92706,0.72342,0.65664,0.67199,0.40452,1.32289,0.93599,1.56091,5.85851e-05,5.85851e-05,5.85851e-05
191,2498.7,0.50027,0.27057,0.86405,0.69313,0.64443,0.65086,0.40076,1.31598,0.92022,1.55926,5.40855e-05,5.40855e-05,5.40855e-05
192,2508.87,0.48588,0.25894,0.84449,0.7086,0.643,0.65658,0.40206,1.31047,0.91148,1.55798,4.9586e-05,4.9586e-05,4.9586e-05
